terrace,bedrooms,construction_year,date_month,date_year,date_year_month,floor,rooms,price_room,price_surface,price,surface,zip
yes,2.0,1967.0,3,2016,201603.0,up floor,2.0,169500.0,3745.8563535911603,339000.0,90.5,80992
yes,2.0,1984.0,3,2016,201603.0,up floor,2.0,146500.0,3237.5690607734805,293000.0,90.5,81541
yes,3.0,1975.0,3,2016,201603.0,up floor,2.0,199500.0,4408.839779005525,399000.0,90.5,81243
yes,1.0,1940.0,3,2016,201603.0,up floor,2.0,160000.0,3535.9116022099447,320000.0,90.5,81377
yes,2.0,1988.0,3,2016,201603.0,up floor,2.0,125000.0,2762.4309392265195,250000.0,90.5,80807
yes,2.0,1971.0,3,2016,201603.0,up floor,2.0,199999.5,4419.878453038674,399999.0,90.5,81241
yes,1.0,1964.0,3,2016,201603.0,ground floor,2.0,112500.0,2486.1878453038676,225000.0,90.5,80992
yes,3.0,1967.0,3,2016,201603.0,up floor,2.0,197500.0,4364.640883977901,395000.0,90.5,80935
yes,2.0,1961.0,3,2016,201603.0,up floor,2.0,174500.0,3856.353591160221,349000.0,90.5,80686
yes,1.0,1960.0,3,2016,201603.0,up floor,2.0,194000.0,4287.292817679558,388000.0,90.5,80686
yes,2.0,1992.0,3,2016,201603.0,ground floor,2.0,174975.0,3866.8508287292816,349950.0,90.5,80935
yes,2.0,1993.0,3,2016,201603.0,up floor,2.0,192500.0,4254.14364640884,385000.0,90.5,81927
yes,2.0,1988.0,3,2016,201603.0,up floor,2.0,197750.0,4370.165745856353,395500.0,90.5,81669
yes,2.0,1975.0,3,2016,201603.0,up floor,2.0,167500.0,3701.657458563536,335000.0,90.5,81927
yes,1.0,1989.0,3,2016,201603.0,up floor,2.0,179500.0,3966.8508287292816,359000.0,90.5,81479
yes,2.0,1993.0,3,2016,201603.0,up floor,2.0,199500.0,4408.839779005525,399000.0,90.5,81243
yes,1.0,1975.0,3,2016,201603.0,up floor,2.0,179500.0,3966.8508287292816,359000.0,90.5,85540
yes,4.0,1975.0,3,2016,201603.0,up floor,2.0,97500.0,2154.696132596685,195000.0,90.5,85640
yes,1.0,1971.0,3,2016,201603.0,up floor,2.0,175050.0,3868.508287292818,350100.0,90.5,82110
yes,1.0,1976.0,3,2016,201603.0,up floor,2.0,134500.0,2972.3756906077347,269000.0,90.5,85640
yes,2.0,1994.0,3,2016,201603.0,up floor,2.0,187500.0,4143.646408839779,375000.0,90.5,82008
yes,2.0,1980.0,3,2016,201603.0,up floor,2.0,142500.0,3149.171270718232,285000.0,90.5,82110
yes,1.0,1978.0,3,2016,201603.0,ground floor,2.0,149500.0,3303.8674033149173,299000.0,90.5,85716
yes,2.0,1974.0,3,2016,201603.0,up floor,2.0,165000.0,3646.4088397790056,330000.0,90.5,85521
yes,3.0,1974.0,3,2016,201603.0,up floor,2.0,182500.0,4033.1491712707184,365000.0,90.5,85609
yes,2.0,1974.0,3,2016,201603.0,up floor,2.0,164500.0,3635.3591160220994,329000.0,90.5,85609
yes,1.0,1972.0,3,2016,201603.0,up floor,2.0,197500.0,4364.640883977901,395000.0,90.5,85521
yes,1.0,1972.0,3,2016,201603.0,up floor,2.0,187500.0,4143.646408839779,375000.0,90.5,85609
yes,2.0,2015.0,3,2016,201603.0,up floor,2.0,197500.0,4364.640883977901,395000.0,90.5,81243
yes,2.0,1984.0,3,2016,201603.0,up floor,2.0,187500.0,4143.646408839779,375000.0,90.5,81539
yes,2.0,2001.0,3,2016,201603.0,up floor,2.0,199500.0,4408.839779005525,399000.0,90.5,80939
yes,2.0,1972.0,3,2016,201603.0,up floor,2.0,182500.0,4033.1491712707184,365000.0,90.5,80993
yes,1.0,1961.0,3,2016,201603.0,up floor,2.0,170000.0,3756.9060773480664,340000.0,90.5,81675
yes,1.0,1968.0,3,2016,201603.0,up floor,2.0,170000.0,3756.9060773480664,340000.0,90.5,81927
yes,2.0,1962.0,3,2016,201603.0,up floor,2.0,180000.0,3977.9005524861877,360000.0,90.5,80686
yes,2.0,1972.0,3,2016,201603.0,up floor,2.0,175000.0,3867.403314917127,350000.0,90.5,80937
yes,1.0,1987.0,3,2016,201603.0,up floor,2.0,199000.0,4397.790055248619,398000.0,90.5,81739
yes,2.0,1956.0,3,2016,201603.0,up floor,2.0,149500.0,3303.8674033149173,299000.0,90.5,80997
yes,1.0,1972.0,3,2016,201603.0,up floor,2.0,125000.0,2762.4309392265195,250000.0,90.5,80689
yes,1.0,1967.0,3,2016,201603.0,up floor,2.0,152500.0,3370.1657458563536,305000.0,90.5,80997
yes,1.0,1968.0,3,2016,201603.0,up floor,2.0,189900.0,4196.685082872928,379800.0,90.5,81369
yes,2.0,1965.0,3,2016,201603.0,up floor,2.0,166500.0,3679.558011049724,333000.0,90.5,81475
yes,1.0,1968.0,3,2016,201603.0,up floor,2.0,160000.0,3535.9116022099447,320000.0,90.5,80935
yes,1.0,1969.0,3,2016,201603.0,ground floor,2.0,187500.0,4143.646408839779,375000.0,90.5,81379
yes,2.0,1963.0,3,2016,201603.0,up floor,2.0,181000.0,4000.0,362000.0,90.5,81927
yes,2.0,1978.0,3,2016,201603.0,up floor,2.0,200000.0,4419.889502762431,400000.0,90.5,81477
yes,3.0,1973.0,3,2016,201603.0,up floor,2.0,182500.0,4033.1491712707184,365000.0,90.5,85774
yes,1.0,2004.0,3,2016,201603.0,ground floor,2.0,197500.0,4364.640883977901,395000.0,90.5,85679
yes,2.0,1972.0,3,2016,201603.0,up floor,2.0,181500.0,4011.049723756906,363000.0,90.5,85521
yes,3.0,1977.0,3,2016,201603.0,up floor,2.0,175000.0,3867.403314917127,350000.0,90.5,85221
yes,2.0,1983.0,3,2016,201603.0,up floor,2.0,175000.0,3867.403314917127,350000.0,90.5,82024
yes,2.0,1994.0,3,2016,201603.0,ground floor,2.0,195000.0,4309.39226519337,390000.0,90.5,85757
yes,2.0,1969.0,3,2016,201603.0,up floor,2.0,184500.0,4077.3480662983425,369000.0,90.5,85757
yes,2.0,1973.0,3,2016,201603.0,up floor,2.0,107500.0,2375.6906077348067,215000.0,90.5,82110
yes,2.0,1971.0,3,2016,201603.0,up floor,2.0,129500.0,2861.8784530386743,259000.0,90.5,82110
yes,1.0,1971.0,3,2016,201603.0,up floor,2.0,170000.0,3756.9060773480664,340000.0,90.5,81927
yes,2.0,1990.0,3,2016,201603.0,up floor,2.0,147500.0,3259.6685082872928,295000.0,90.5,81479
yes,1.0,1969.0,3,2016,201603.0,up floor,2.0,147500.0,3259.6685082872928,295000.0,90.5,81735
yes,2.0,1965.0,3,2016,201603.0,ground floor,2.0,169500.0,3745.8563535911603,339000.0,90.5,80807
yes,2.0,1967.0,3,2016,201603.0,up floor,2.0,165750.0,3662.983425414365,331500.0,90.5,81539
yes,1.0,1969.0,3,2016,201603.0,up floor,2.0,164700.0,3639.779005524862,329400.0,90.5,81735
yes,2.0,1975.0,3,2016,201603.0,up floor,2.0,149000.0,3292.817679558011,298000.0,90.5,81737
yes,2.0,1966.0,3,2016,201603.0,up floor,2.0,150000.0,3314.9171270718234,300000.0,90.5,81475
yes,2.0,1989.0,3,2016,201603.0,up floor,2.0,147500.0,3259.6685082872928,295000.0,90.5,80997
yes,1.0,1963.0,3,2016,201603.0,up floor,2.0,182500.0,4033.1491712707184,365000.0,90.5,80636
yes,2.0,1999.0,3,2016,201603.0,up floor,2.0,197500.0,4364.640883977901,395000.0,90.5,81825
yes,2.0,1960.0,3,2016,201603.0,up floor,2.0,189500.0,4187.845303867403,379000.0,90.5,80807
yes,2.0,1988.0,3,2016,201603.0,up floor,2.0,149500.0,3303.8674033149173,299000.0,90.5,80939
yes,1.0,1968.0,3,2016,201603.0,ground floor,2.0,164500.0,3635.3591160220994,329000.0,90.5,81927
yes,2.0,1960.0,3,2016,201603.0,up floor,2.0,177500.0,3922.6519337016575,355000.0,90.5,80637
yes,2.0,1964.0,3,2016,201603.0,up floor,2.0,140000.0,3093.9226519337017,280000.0,90.5,81541
yes,2.0,1968.0,3,2016,201603.0,up floor,2.0,179500.0,3966.8508287292816,359000.0,90.5,82008
yes,2.0,1972.0,3,2016,201603.0,ground floor,2.0,159500.0,3524.8618784530386,319000.0,90.5,85716
yes,1.0,1978.0,3,2016,201603.0,up floor,2.0,62500.0,1381.2154696132598,125000.0,90.5,85640
yes,2.0,1980.0,3,2016,201603.0,up floor,2.0,167000.0,3690.6077348066297,334000.0,90.5,82110
yes,2.0,1980.0,3,2016,201603.0,ground floor,2.0,165000.0,3646.4088397790056,330000.0,90.5,82110
yes,1.0,1995.0,3,2016,201603.0,up floor,2.0,197500.0,4364.640883977901,395000.0,90.5,85540
yes,1.0,1969.0,3,2016,201603.0,up floor,2.0,177500.0,3922.6519337016575,355000.0,90.5,82008
yes,1.0,1971.0,3,2016,201603.0,up floor,2.0,187500.0,4143.646408839779,375000.0,90.5,85221
yes,2.0,1972.0,3,2016,201603.0,up floor,2.0,139750.0,3088.3977900552486,279500.0,90.5,85716
yes,2.0,1992.0,3,2016,201603.0,up floor,2.0,167450.0,3700.5524861878453,334900.0,90.5,82024
yes,1.0,1971.0,3,2016,201603.0,up floor,2.0,197500.0,4364.640883977901,395000.0,90.5,81475
yes,2.0,1968.0,3,2016,201603.0,up floor,2.0,167500.0,3701.657458563536,335000.0,90.5,80995
yes,2.0,1980.0,3,2016,201603.0,up floor,2.0,174500.0,3856.353591160221,349000.0,90.5,82152
yes,1.0,1982.0,3,2016,201603.0,up floor,2.0,192500.0,4254.14364640884,385000.0,90.5,85757
yes,2.0,1970.0,3,2016,201603.0,up floor,2.0,207500.0,4585.635359116022,415000.0,90.5,81539
yes,1.0,1973.0,3,2016,201603.0,up floor,2.0,207500.0,4585.635359116022,415000.0,90.5,81737
yes,1.0,2004.0,3,2016,201603.0,ground floor,2.0,206000.0,4552.486187845304,412000.0,90.5,80992
yes,1.0,1966.0,3,2016,201603.0,up floor,2.0,117500.0,2596.685082872928,235000.0,90.5,81243
yes,1.0,1969.0,3,2016,201603.0,up floor,2.0,200550.0,4432.044198895028,401100.0,90.5,81737
yes,2.0,1999.0,3,2016,201603.0,ground floor,2.0,203250.0,4491.712707182321,406500.0,90.5,81829
